Bubble Sort,Insert Sort,Selection Sort,Merge Sort,Heap Sort,Quick Sort,Radix Sort
5762965,3201771,5392985,267211,205830,132925,512529
2128646,542156,1061775,317534,203644,145962,543017
2574004,2036544,4065976,294415,204563,148247,531297
1442987,112660,348430,172676,128770,82070,335911
1186138,117904,349276,167968,132354,57011,485433
1481899,123104,365397,273474,186799,57583,582317
1335903,117607,349396,143831,195768,61017,543859
1591052,221624,702584,203359,195496,58497,569784
1539338,202653,667936,250492,145044,45970,417315
1608819,122316,347772,139200,131074,44190,107160
